fid,station_id,station_x,station_y,gauge_id,gauge_name,n,distance,gauge_x,gauge_y
35,il_18150,199305,633507,22,JERUSALEM GIVAT RAM,5,19616,218751,630925
36,il_18178,185784,640112,121,HAFEZ HAYYIM,1,7917,181532,633434
36,il_18178,185784,640112,259,NAHSHON,2,10847,196411,637937
36,il_18178,185784,640112,54,BET DAGAN,3,17569,182565,657383
36,il_18178,185784,640112,124,ASHDOD PORT,4,20045,165834,638161
36,il_18178,185784,640112,25,NETIV HALAMED HE,5,22776,198459,621189
37,il_18180,199305,633507,259,NAHSHON,1,5291,196411,637937
37,il_18180,199305,633507,25,NETIV HALAMED HE,2,12347,198459,621189
37,il_18180,199305,633507,121,HAFEZ HAYYIM,3,17773,181532,633434
37,il_18180,199305,633507,77,ROSH ZURIM,4,19033,211827,619174
37,il_18180,199305,633507,22,JERUSALEM GIVAT RAM,5,19616,218751,630925
38,il_19180,189171,616942,25,NETIV HALAMED HE,1,10213,198459,621189
38,il_19180,189171,616942,121,HAFEZ HAYYIM,2,18176,181532,633434
38,il_19180,189171,616942,82,NEGBA,3,19424,169811,618514
38,il_19180,189171,616942,259,NAHSHON,4,22209,196411,637937
38,il_19180,189171,616942,77,ROSH ZURIM,5,22766,211827,619174
39,il_23137,198916,576292,28,SHANI,1,9822,204665,584255
39,il_23137,198916,576292,349,NEVATIM,2,10301,192539,568202
39,il_23137,198916,576292,411,BEER SHEVA BGU,3,17614,181365,574800
39,il_23137,198916,576292,29,ARAD,4,19025,217699,573268
39,il_23137,198916,576292,59,BEER SHEVA,5,20512,179346,582436
40,il_19130,193231,612607,25,NETIV HALAMED HE,1,10049,198459,621189
40,il_19130,193231,612607,77,ROSH ZURIM,2,19721,211827,619174
40,il_19130,193231,612607,188,ZOVA,3,20183,206679,597557
40,il_19130,193231,612607,121,HAFEZ HAYYIM,4,23888,181532,633434
40,il_19130,193231,612607,82,NEGBA,5,24153,169811,618514
41,il_19160,200107,619131,25,NETIV HALAMED HE,1,2636,198459,621189
41,il_19160,200107,619131,77,ROSH ZURIM,2,11720,211827,619174
41,il_19160,200107,619131,259,NAHSHON,3,19166,196411,637937
41,il_19160,200107,619131,22,JERUSALEM GIVAT RAM,4,22062,218751,630925
41,il_19160,200107,619131,188,ZOVA,5,22553,206679,597557
42,il_19178,193595,621909,25,NETIV HALAMED HE,1,4917,198459,621189
42,il_19178,193595,621909,259,NAHSHON,2,16274,196411,637937
42,il_19178,193595,621909,121,HAFEZ HAYYIM,3,16683,181532,633434
42,il_19178,193595,621909,77,ROSH ZURIM,4,18436,211827,619174
42,il_19178,193595,621909,82,NEGBA,5,24025,169811,618514
43,il_2105,229911,767909,269,HARASHIM,1,5675,231009,762342
43,il_2105,229911,767909,73,ELON,2,11404,220629,774535
43,il_2105,229911,767909,205,ESHHAR,3,13760,228304,754243
43,il_2105,229911,767909,62,ZEFAT HAR KENAAN,4,18022,247737,765259
43,il_2105,229911,767909,106,ROSH HANIQRA,5,21239,210358,776203
44,il_21105,182890,593232,59,BEER SHEVA,1,11363,179346,582436
44,il_21105,182890,593232,411,BEER SHEVA BGU,2,18495,181365,574800
44,il_21105,182890,593232,79,DOROT,3,19357,165167,601017
44,il_21105,182890,593232,28,SHANI,4,23553,204665,584255
44,il_21105,182890,593232,188,ZOVA,5,24179,206679,597557
45,il_21120,190642,597630,188,ZOVA,1,16037,206679,597557
45,il_21120,190642,597630,59,BEER SHEVA,2,18933,179346,582436
45,il_21120,190642,597630,28,SHANI,3,19379,204665,584255
45,il_21120,190642,597630,411,BEER SHEVA BGU,4,24643,181365,574800
45,il_21120,190642,597630,25,NETIV HALAMED HE,5,24822,198459,621189
46,il_21130,184724,598685,59,BEER SHEVA,1,17116,179346,582436
46,il_21130,184724,598685,79,DOROT,2,19695,165167,601017
46,il_21130,184724,598685,188,ZOVA,3,21984,206679,597557
46,il_21130,184724,598685,411,BEER SHEVA BGU,4,24120,181365,574800
46,il_21130,184724,598685,28,SHANI,5,24615,204665,584255
47,il_23134,185813,563446,349,NEVATIM,1,8238,192539,568202
47,il_23134,185813,563446,112,ZOMET HANEGEV,2,10639,185533,552810
47,il_23134,185813,563446,411,BEER SHEVA BGU,3,12195,181365,574800
47,il_23134,185813,563446,59,BEER SHEVA,4,20061,179346,582436
47,il_23134,185813,563446,28,SHANI,5,28079,204665,584255
48,il_23150,185663,564457,349,NEVATIM,1,7830,192539,568202
48,il_23150,185663,564457,411,BEER SHEVA BGU,2,11200,181365,574800
48,il_23150,185663,564457,112,ZOMET HANEGEV,3,11648,185533,552810
48,il_23150,185663,564457,59,BEER SHEVA,4,19056,179346,582436
48,il_23150,185663,564457,28,SHANI,5,27442,204665,584255
49,il_23160,167907,584394,59,BEER SHEVA,1,11606,179346,582436
49,il_23160,167907,584394,411,BEER SHEVA BGU,2,16528,181365,574800
49,il_23160,167907,584394,79,DOROT,3,16847,165167,601017
49,il_23160,167907,584394,58,BESOR FARM,4,27427,141798,575994
49,il_23160,167907,584394,349,NEVATIM,5,29477,192539,568202
50,il_25191,164121,529178,271,AVDAT,1,14943,177878,523345
50,il_25191,164121,529178,338,EZUZ,2,16211,149351,522496
50,il_25191,164121,529178,98,SEDE BOQER,3,16400,180395,531208
51,il_30118,269147,800585,241,KEFAR GILADI,1,16951,253526,794003
51,il_30118,269147,800585,202,KEFAR BLUM,2,18256,257563,786476
51,il_30118,269147,800585,10,MEROM GOLAN PICMAN,3,18965,273444,782114
52,il_30120,273119,816577,241,KEFAR GILADI,1,29892,253526,794003
53,il_30122,273015,816423,241,KEFAR GILADI,1,29707,253526,794003
54,il_30124,273395,796831,10,MEROM GOLAN PICMAN,1,14718,273444,782114
54,il_30124,273395,796831,202,KEFAR BLUM,2,18918,257563,786476
54,il_30124,273395,796831,241,KEFAR GILADI,3,20069,253526,794003
55,il_30125,269770,796873,10,MEROM GOLAN PICMAN,1,15210,273444,782114
55,il_30125,269770,796873,202,KEFAR BLUM,2,16035,257563,786476
55,il_30125,269770,796873,241,KEFAR GILADI,3,16495,253526,794003
56,il_30128,269085,796201,10,MEROM GOLAN PICMAN,1,14746,273444,782114
56,il_30128,269085,796201,202,KEFAR BLUM,2,15078,257563,786476
56,il_30128,269085,796201,241,KEFAR GILADI,3,15714,253526,794003
57,il_30131,262546,797954,241,KEFAR GILADI,1,9848,253526,794003
57,il_30131,262546,797954,202,KEFAR BLUM,2,12513,257563,786476
57,il_30131,262546,797954,10,MEROM GOLAN PICMAN,3,19227,273444,782114
58,il_30136,270599,810744,241,KEFAR GILADI,1,23911,253526,794003
58,il_30136,270599,810744,202,KEFAR BLUM,2,27548,257563,786476
58,il_30136,270599,810744,10,MEROM GOLAN PICMAN,3,28771,273444,782114
59,il_23105,178609,534256,98,SEDE BOQER,1,3533,180395,531208
59,il_23105,178609,534256,271,AVDAT,2,10936,177878,523345
59,il_23105,178609,534256,112,ZOMET HANEGEV,3,19804,185533,552810
