run_title,basin,learning_rate,seq_length,hidden_size,batch_size,epoch,autoregressive_inputs,dynamic_inputs,RMSE,NSE,Peak-Timing,normalization,comments,folder_path,basin_name
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_220640,il_14120,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",4.52,0.775,11.3,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_220640,il_15120,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",2.06,0.861,25.7,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_220640,il_19160,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.0185,-1.14,18,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_220640,il_2105,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.282,0.738,55,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_220640,il_30170,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.116,0.568,15.6,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_220640,il_4110,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.0717,0.791,15,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_220640,il_8146,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.99,0.86,23.8,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_220640,il_8155,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.181,0.93,14.6,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2812_233440,il_14120,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",5.39,0.681,10.6,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2812_233440,il_15120,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",2.03,0.866,23.6,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2812_233440,il_19160,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.038,-8.01,13,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2812_233440,il_2105,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.268,0.763,0,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2812_233440,il_30170,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.132,0.437,17,zscore,"z-score normalization, ensemble run",,
