run_title,basin,learning_rate,seq_length,hidden_size,batch_size,epoch,autoregressive_inputs,dynamic_inputs,RMSE,NSE,Peak-Timing,normalization,comments,folder_path,basin_name
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2912_033901,il_8146,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.916,0.88,25.5
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2912_033901,il_8155,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.206,0.91,21.5
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2912_101027,il_14120,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",4.62,0.766,5
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2912_101027,il_15120,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",1.85,0.888,9
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2912_101027,il_19160,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.0253,-2.99,30
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2912_101027,il_2105,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.282,0.738,47.5
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2912_101027,il_30170,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.128,0.474,11
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2912_101027,il_4110,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.0651,0.828,18.6
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2912_101027,il_8146,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.998,0.857,21
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2912_101027,il_8155,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.175,0.935,10.9
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2912_164318,il_14120,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",4.66,0.762,4.14
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2912_164318,il_15120,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",1.65,0.911,30.9
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2912_164318,il_19160,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.0289,-4.24,39.5
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2912_164318,il_2105,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.275,0.752,20.5
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2912_164318,il_30170,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.112,0.594,18.8
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2912_164318,il_4110,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.0775,0.756,17.4
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2912_164318,il_8146,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",1.03,0.848,23.2
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2912_164318,il_8155,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.19,0.923,22.6
HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate0001_2812_002447,il_14120,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",5.66,0.648,10.6
HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate0001_2812_002447,il_15120,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",1.85,0.888,14.1
HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate0001_2812_002447,il_19160,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.0258,-3.16,17
HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate0001_2812_002447,il_2105,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.27,0.761,54.5
HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate0001_2812_002447,il_30170,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.14,0.363,18
HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate0001_2812_002447,il_4110,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.0752,0.77,17.9
HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate0001_2812_002447,il_8146,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.95,0.871,19.5
HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate0001_2812_002447,il_8155,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.16,0.946,20.5
