hidden_size,batch_size,learning_rate,step,train_loss,valid_loss,valid_nse,file_name,normalization,seq_length
128,512,0.01,4,0.160445362,0.018070228,-0.745776772,HPC_training_zscore_norm_hidden_size128_batch_size512_learning_rate001_2712_193851,training_zscore,36
128,512,0.01,5,0.124766879,0.016525084,-0.830852211,HPC_training_zscore_norm_hidden_size128_batch_size512_learning_rate001_2712_193851,training_zscore,36
128,512,0.01,6,0.129853234,0.016232532,-0.793817759,HPC_training_zscore_norm_hidden_size128_batch_size512_learning_rate001_2712_193851,training_zscore,36
128,512,0.01,7,0.120151952,0.016737005,-0.763781071,HPC_training_zscore_norm_hidden_size128_batch_size512_learning_rate001_2712_193851,training_zscore,36
128,512,0.01,8,0.121280357,0.017408632,-0.758305609,HPC_training_zscore_norm_hidden_size128_batch_size512_learning_rate001_2712_193851,training_zscore,36
128,512,0.01,9,0.124368802,0.017377609,-0.767088115,HPC_training_zscore_norm_hidden_size128_batch_size512_learning_rate001_2712_193851,training_zscore,36
128,512,0.01,10,0.120614618,0.018955685,-0.779019356,HPC_training_zscore_norm_hidden_size128_batch_size512_learning_rate001_2712_193851,training_zscore,36
128,512,0.01,11,0.12187124,0.015175089,-0.742333591,HPC_training_zscore_norm_hidden_size128_batch_size512_learning_rate001_2712_193851,training_zscore,36
128,512,0.01,12,0.118176684,0.017166449,-0.824978471,HPC_training_zscore_norm_hidden_size128_batch_size512_learning_rate001_2712_193851,training_zscore,36
128,512,0.01,13,0.132984892,0.01757106,-0.781302691,HPC_training_zscore_norm_hidden_size128_batch_size512_learning_rate001_2712_193851,training_zscore,36
128,512,0.01,14,0.123637259,0.020365402,-0.819190383,HPC_training_zscore_norm_hidden_size128_batch_size512_learning_rate001_2712_193851,training_zscore,36
128,512,0.01,15,0.121193647,0.017547002,-0.796142042,HPC_training_zscore_norm_hidden_size128_batch_size512_learning_rate001_2712_193851,training_zscore,36
256,2048,0.001,1,0.1590572,0.026330272,-1.078699589,HPC_training_zscore_norm_hidden_size256_batch_size2048_learning_rate0001_2712_104153,training_zscore,36
256,2048,0.001,2,0.1144927,0.022259636,-0.882606328,HPC_training_zscore_norm_hidden_size256_batch_size2048_learning_rate0001_2712_104153,training_zscore,36
256,2048,0.001,3,0.102269396,0.020574773,-0.865820348,HPC_training_zscore_norm_hidden_size256_batch_size2048_learning_rate0001_2712_104153,training_zscore,36
256,2048,0.001,4,0.090346597,0.017332217,-0.794445693,HPC_training_zscore_norm_hidden_size256_batch_size2048_learning_rate0001_2712_104153,training_zscore,36
256,2048,0.001,5,0.078915671,0.021039208,-0.919113815,HPC_training_zscore_norm_hidden_size256_batch_size2048_learning_rate0001_2712_104153,training_zscore,36
256,2048,0.001,6,0.066815108,0.019815462,-0.729474068,HPC_training_zscore_norm_hidden_size256_batch_size2048_learning_rate0001_2712_104153,training_zscore,36
256,2048,0.001,7,0.060106944,0.026852844,-0.866609097,HPC_training_zscore_norm_hidden_size256_batch_size2048_learning_rate0001_2712_104153,training_zscore,36
256,2048,0.001,8,0.051227551,0.021605752,-0.826828778,HPC_training_zscore_norm_hidden_size256_batch_size2048_learning_rate0001_2712_104153,training_zscore,36
256,2048,0.001,9,0.046212364,0.023293054,-0.817439437,HPC_training_zscore_norm_hidden_size256_batch_size2048_learning_rate0001_2712_104153,training_zscore,36
256,2048,0.001,10,0.040292166,0.02472565,-0.802180111,HPC_training_zscore_norm_hidden_size256_batch_size2048_learning_rate0001_2712_104153,training_zscore,36
256,2048,0.001,11,0.03599079,0.02260875,-0.742974162,HPC_training_zscore_norm_hidden_size256_batch_size2048_learning_rate0001_2712_104153,training_zscore,36
256,2048,0.001,12,0.034377631,0.020635281,-0.741454363,HPC_training_zscore_norm_hidden_size256_batch_size2048_learning_rate0001_2712_104153,training_zscore,36
256,2048,0.001,13,0.031708047,0.022958964,-0.724815249,HPC_training_zscore_norm_hidden_size256_batch_size2048_learning_rate0001_2712_104153,training_zscore,36
256,2048,0.001,14,0.032295663,0.022613747,-0.794112682,HPC_training_zscore_norm_hidden_size256_batch_size2048_learning_rate0001_2712_104153,training_zscore,36
256,2048,0.001,15,0.030008532,0.033544544,-1.083001375,HPC_training_zscore_norm_hidden_size256_batch_size2048_learning_rate0001_2712_104153,training_zscore,36
256,2048,0.01,1,0.160765201,0.021232327,-0.772949815,HPC_training_zscore_norm_hidden_size256_batch_size2048_learning_rate001_2712_123156,training_zscore,36
256,2048,0.01,2,0.122933604,0.021213241,-0.767154098,HPC_training_zscore_norm_hidden_size256_batch_size2048_learning_rate001_2712_123156,training_zscore,36
256,2048,0.01,3,0.122424282,0.024809038,-1.015452385,HPC_training_zscore_norm_hidden_size256_batch_size2048_learning_rate001_2712_123156,training_zscore,36
256,2048,0.01,4,0.116751045,0.020681147,-0.747873247,HPC_training_zscore_norm_hidden_size256_batch_size2048_learning_rate001_2712_123156,training_zscore,36
256,2048,0.01,5,0.112147972,0.020830622,-0.780028582,HPC_training_zscore_norm_hidden_size256_batch_size2048_learning_rate001_2712_123156,training_zscore,36
256,2048,0.01,6,0.110513069,0.02314052,-0.793492138,HPC_training_zscore_norm_hidden_size256_batch_size2048_learning_rate001_2712_123156,training_zscore,36
256,2048,0.01,7,0.112686403,0.023432717,-0.797155261,HPC_training_zscore_norm_hidden_size256_batch_size2048_learning_rate001_2712_123156,training_zscore,36
256,2048,0.01,8,0.108667463,0.021886541,-0.825113952,HPC_training_zscore_norm_hidden_size256_batch_size2048_learning_rate001_2712_123156,training_zscore,36
256,2048,0.01,9,0.108580589,0.023288473,-0.85051465,HPC_training_zscore_norm_hidden_size256_batch_size2048_learning_rate001_2712_123156,training_zscore,36
256,2048,0.01,10,0.102527075,0.025365571,-0.824699581,HPC_training_zscore_norm_hidden_size256_batch_size2048_learning_rate001_2712_123156,training_zscore,36
256,2048,0.01,11,0.100617155,0.024465363,-0.772680283,HPC_training_zscore_norm_hidden_size256_batch_size2048_learning_rate001_2712_123156,training_zscore,36
256,2048,0.01,12,0.09724018,0.022509774,-0.821270943,HPC_training_zscore_norm_hidden_size256_batch_size2048_learning_rate001_2712_123156,training_zscore,36
256,2048,0.01,13,0.096419416,0.025846398,-0.889327109,HPC_training_zscore_norm_hidden_size256_batch_size2048_learning_rate001_2712_123156,training_zscore,36
256,2048,0.01,14,0.090557195,0.022079656,-0.936539292,HPC_training_zscore_norm_hidden_size256_batch_size2048_learning_rate001_2712_123156,training_zscore,36
256,2048,0.01,15,0.091036826,0.023317056,-0.77075994,HPC_training_zscore_norm_hidden_size256_batch_size2048_learning_rate001_2712_123156,training_zscore,36
256,512,0.001,1,0.136421502,0.014536447,-0.903605282,HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate0001_2812_002447,training_zscore,36
